year,portfolio_value,vnindex_value,port_return_pct,vn_return_pct
2019,1000000000,,,
2020,1000000000,,0.0000,
2021,1326300540.00000000,,32.6301,
2022,1477143780.0000000000,,11.3732,
2023,1718294710.0000000000,,16.3255,
2024,2169146550.0000000000,,26.2383,
