metric,portfolio,vnindex
CAGR,0.0000,0.0000
Volatility,0.0000,0.0000
Sharpe,0.0000,0.0000
Sortino,0.0000,
MaxDrawdown,0.0000,0.0000
HitRate,0.0000,
Alpha,0.0000,
Beta,0.0000,
