run,CAGR_pct,Sharpe,MaxDrawdown_pct,Top10_overlap_pct,w_DDM,w_DCF,w_RI,w_PE,w_PB,w_PCF,w_PS
65,14.519883,0.854940,-2.802728,100.000000,0.514541,0.247588,0.104538,0.118470,0.007347,0.007020,0.000495
66,15.686188,0.808772,-5.724923,100.000000,0.373398,0.355360,0.098897,0.004967,0.002168,0.152576,0.012633
67,16.121442,0.799752,-6.434631,100.000000,0.397025,0.116163,0.372168,0.097762,0.000452,0.001469,0.014961
68,17.614026,0.813903,-8.147815,100.000000,0.246376,0.431563,0.053927,0.059447,0.014274,0.193493,0.000920
69,16.946202,0.867120,-5.473955,100.000000,0.240547,0.286244,0.167556,0.012457,0.145934,0.147235,0.000027
70,17.728125,0.705945,-13.596808,100.000000,0.179826,0.461928,0.201661,0.087945,0.001193,0.066673,0.000774
71,14.128072,0.895359,-1.382600,100.000000,0.502615,0.209327,0.028682,0.007410,0.014434,0.016610,0.220921
72,15.220346,0.828460,-4.525408,100.000000,0.350259,0.332922,0.017782,0.167426,0.006491,0.117961,0.007159
73,13.284366,0.919258,0.000000,100.000000,0.738605,0.102310,0.116562,0.023994,0.014949,0.000076,0.003504
74,18.719031,0.663560,-18.885460,100.000000,0.110517,0.396431,0.427924,0.036340,0.000515,0.006594,0.021678
75,17.115369,0.780750,-8.329926,100.000000,0.248019,0.098093,0.410940,0.005412,0.111623,0.058924,0.066989
76,15.220766,0.823736,-4.952925,100.000000,0.352802,0.326064,0.087821,0.195268,0.014424,0.012089,0.011531
77,14.170882,0.884214,-1.505253,100.000000,0.526472,0.204438,0.109270,0.133925,0.025255,0.000007,0.000634
78,11.614287,0.999690,0.000000,100.000000,0.827998,0.040379,0.036153,0.006084,0.087363,0.001010,0.001013
79,12.558339,0.946161,0.000000,100.000000,0.685531,0.120342,0.022395,0.011308,0.011641,0.074304,0.074480
80,17.632393,0.729489,-11.915896,100.000000,0.143848,0.402771,0.210593,0.110013,0.075611,0.048399,0.008764
81,16.658490,0.786241,-7.704636,100.000000,0.199033,0.204107,0.315435,0.179877,0.000616,0.060395,0.040537
82,14.788036,0.851968,-3.350299,100.000000,0.391070,0.280134,0.068836,0.182608,0.004933,0.065809,0.006610
83,13.424101,0.907660,-0.100104,100.000000,0.639451,0.069839,0.166132,0.122389,0.001441,0.000606,0.000143
84,18.473437,0.757220,-11.968531,100.000000,0.282474,0.514690,0.105444,0.076695,0.016456,0.004241,0.000000
85,14.496439,0.868580,-2.248236,100.000000,0.468375,0.173883,0.186178,0.157154,0.000000,0.012411,0.002000
86,12.719107,0.936536,0.000000,100.000000,0.747129,0.131158,0.008861,0.018057,0.027327,0.000001,0.067467
87,14.247974,0.872291,-2.069314,100.000000,0.465278,0.241247,0.080457,0.177701,0.022860,0.012426,0.000031
88,17.881517,0.708393,-13.649470,100.000000,0.191755,0.504925,0.188231,0.005374,0.101667,0.000481,0.007566
89,17.392430,0.743399,-10.487426,100.000000,0.360185,0.238048,0.401701,0.000000,0.000047,0.000019,0.000000
90,16.953452,0.767312,-8.612288,100.000000,0.370248,0.134361,0.421324,0.024160,0.047805,0.002051,0.000051
91,15.168488,0.977687,-1.004090,100.000000,0.252474,0.216886,0.001846,0.229419,0.188929,0.001535,0.108911
92,15.082156,0.997494,-0.422384,100.000000,0.271228,0.216370,0.015844,0.019040,0.164571,0.312947,0.000000
93,16.749416,0.761983,-9.053714,100.000000,0.161327,0.496142,0.019199,0.000773,0.021891,0.300668,0.000000
94,17.888528,0.798203,-9.177027,100.000000,0.288382,0.509129,0.019128,0.016505,0.160313,0.001225,0.005318
95,18.099741,0.690016,-15.588966,100.000000,0.166961,0.650808,0.061658,0.000132,0.116247,0.004194,0.000000
96,16.390704,0.766070,-8.363928,100.000000,0.399744,0.452994,0.062531,0.076878,0.001308,0.006545,0.000000
97,13.642325,0.905811,-0.231532,100.000000,0.680190,0.115149,0.137361,0.031720,0.000000,0.013905,0.021675
98,17.203244,0.736053,-10.940369,100.000000,0.218845,0.462565,0.140615,0.151528,0.025909,0.000436,0.000103
99,11.433391,1.005373,0.000000,100.000000,0.729145,0.041708,0.023688,0.077636,0.005285,0.121830,0.000708
100,12.820759,0.969832,0.000000,100.000000,0.425625,0.060417,0.102827,0.012890,0.162887,0.144042,0.091311
