year,portfolio_value,vnindex_value,port_return_pct,vn_return_pct
2020,1000000000,1103.90,,
2021,1464260480.00000000,1498.36,46.4260,35.7333
2022,1395673070.0000000000,1006.89,-4.6841,-32.8005
2023,1735330380.0000000000,1129.83,24.3365,12.2099
2024,2081221970.0000000000,1266.78,19.9323,12.1213
