metric,portfolio,vnindex
CAGR,20.1101,3.5006
Volatility,20.9557,28.6526
Sharpe,1.0261,0.2379
Sortino,4.5906,
MaxDrawdown,-4.6841,-32.8005
HitRate,100.0000,
Alpha,16.6179,
Beta,0.7167,
