metric,portfolio,vnindex
CAGR,14.5837,10.8681
Volatility,12.5741,26.0485
Sharpe,1.2049,0.5312
Sortino,0.0000,
MaxDrawdown,0.0000,-32.8005
HitRate,50.0000,
Alpha,14.2134,
Beta,0.0678,
