metric,portfolio,vnindex
CAGR,17.7463,10.0844
Volatility,11.3476,29.1176
Sharpe,1.6022,0.4681
Sortino,0.0000,
MaxDrawdown,0.0000,-32.8005
HitRate,60.0000,
Alpha,17.1817,
Beta,0.0733,
