year,ticker,action,shares,price_vnd,topsis_score,weight_pct
2021,ACB,BUY,5000,128300.00,0.548600,64.170000
2021,TCB,BUY,25400,14100.00,0.434900,35.830000
2021,VCB,RANK,,42930.00,0.183400,
2021,BID,RANK,,33600.00,0.125800,
2022,ACB,BUY,9000,145600.00,0.639900,100.000000
2022,SHB,RANK,,16180.00,0.384900,
2022,BID,RANK,,31600.00,0.317900,
2022,VCB,RANK,,44720.00,0.121700,
2023,ACB,BUY,6200,162800.00,0.550100,68.470000
2023,TCB,BUY,38100,12200.00,0.423700,31.530000
2023,SHB,RANK,,6270.00,0.182500,
2023,BID,RANK,,34240.00,0.179800,
2023,VCB,RANK,,45270.00,0.122700,
2024,ACB,BUY,6000,185200.00,0.540900,64.770000
2024,TCB,BUY,40300,15000.00,0.433000,35.230000
2024,SHB,RANK,,7950.00,0.202100,
2024,VCB,RANK,,53650.00,0.079000,
2024,BID,RANK,,42680.00,0.066300,
2025,TCB,BUY,41600,24350.00,0.624400,46.820000
2025,ACB,BUY,5800,198400.00,0.516300,53.180000
2025,SHB,RANK,,7870.00,0.136100,
2025,BID,RANK,,37520.00,0.087200,
2025,VCB,RANK,,60950.00,0.052400,
