year,portfolio_value,vnindex_value,port_return_pct,vn_return_pct
2020,1000000000,1103.90,,
2021,1326300540.00000000,1498.36,32.6301,35.7333
2022,1477143780.0000000000,1006.89,11.3732,-32.8005
2023,1718294710.0000000000,1129.83,16.3255,12.2099
2024,2169146550.0000000000,1266.78,26.2383,12.1213
2025,2263273472.5000000000,1784.67,4.3394,40.8824
