year,port_drawdown_pct,vn_drawdown_pct
2020,0.0000,0.0000
2021,0.0000,0.0000
2022,0.0000,-32.8005
2023,0.0000,-24.5956
2024,0.0000,-15.4556
2025,0.0000,0.0000
